method,lambda,seed,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha
Raw,,0,0.9095701272635037,0.826,0.6947368421052632,0.29860760406897047,0.2601760176017601,0.2601760176017601,,,,,
AA,,0,0.8582787445686937,0.768,0.5886524822695035,0.19944448452492602,0.12237559447859875,0.0363036303630363,0.08208634959797845,0.21855807303481756,0.515,0.6290000000000001,0.07210524894991391
FairAA,0.0,0,0.8579699596373983,0.768,0.5886524822695035,0.19944448452492602,0.12237559447859875,0.0363036303630363,0.08201742243019283,0.2191520448667843,0.514,0.619,0.07217431573299737
FairAA,0.03,0,0.8580140717704405,0.768,0.5886524822695035,0.19944448452492602,0.12237559447859875,0.0363036303630363,0.08201394447855026,0.2145274898590075,0.5119999999999999,0.6159999999999999,0.07127075269651392
FairAA,0.1,0,0.8571979973091599,0.772,0.5957446808510638,0.19944448452492602,0.12913235123535552,0.01925192519251928,0.08198739294273971,0.18860420350490703,0.503,0.617,0.06651146055289088
FairAA,0.3,0,0.8486953836652771,0.764,0.593103448275862,0.13321549671740857,0.06490649064906495,0.06490649064906495,0.09420246690271594,0.07722749571169685,0.496,0.585,0.04055358851139025
FairAA,1.0,0,0.8340832395950506,0.75,0.576271186440678,0.04898636462015732,0.07480748074807486,0.07480748074807486,0.09307976976159837,0.012379436915013642,0.496,0.557,0.007663355103862207
FairAA,3.0,0,0.8318886609762015,0.732,0.567741935483871,0.021751677368155253,0.11056105610561062,0.11056105610561062,0.0928107299747799,0.010117367166805669,0.496,0.554,0.0014402175212188902
FairAA,10.0,0,0.7972385804715586,0.756,0.5447761194029851,0.1845826419450256,0.19911991199119916,0.19911991199119916,-1.5797982414427922,0.17741372642926978,0.5770000000000001,0.578,0.10824083254371977
FairAA,30.0,0,0.7972385804715586,0.756,0.5447761194029851,0.1845826419450256,0.19911991199119916,0.19911991199119916,-1.5797982414427922,0.17741372642926978,0.5770000000000001,0.578,0.10824083254371977
FairAA,100.0,0,0.7972385804715586,0.756,0.5447761194029851,0.1845826419450256,0.19911991199119916,0.19911991199119916,-1.5797982414427922,0.17741372642926978,0.5770000000000001,0.578,0.10824083254371977
FairAA_3Moment,0.0,0,0.8579699596373983,0.768,0.5886524822695035,0.19944448452492602,0.12237559447859875,0.0363036303630363,0.08201742398774137,0.21915193033446967,0.514,0.619,0.07217431443705888
FairAA_3Moment,0.03,0,0.8415492181124419,0.754,0.5802047781569966,0.106125099199192,0.07480748074807486,0.07480748074807486,0.09375224883375322,0.030190543093257083,0.495,0.5720000000000001,0.025499476127423603
FairAA_3Moment,0.1,0,0.8338185667967974,0.75,0.576271186440678,0.0399682562585672,0.07480748074807486,0.07480748074807486,0.09316593080551672,0.006291427868749255,0.496,0.5760000000000001,0.010643595037961731
FairAA_3Moment,0.3,0,0.8292639890601909,0.744,0.5733333333333334,0.009847774330856374,0.13036303630363044,0.13036303630363044,0.09284924801317129,0.0018977248893009557,0.496,0.5740000000000001,0.004268427142275856
FairAA_3Moment,1.0,0,0.8261540836807164,0.742,0.5770491803278689,0.011254599235264395,0.176017601760176,0.176017601760176,0.09269167830358072,0.001304923934700497,0.496,0.5740000000000001,0.0016632698327669897
FairAA_3Moment,3.0,0,0.8222722159730033,0.77,0.5724907063197026,0.016232595050862164,0.15401540154015403,0.15401540154015403,0.09245706661253572,0.0014806376252824993,0.496,0.591,0.0008980681573612044
FairAA_3Moment,10.0,0,0.8053111008182801,0.76,0.5419847328244275,0.18465478681191835,0.11386138613861385,0.11386138613861385,-0.8277540475284189,0.10377569231955153,0.5,0.595,0.06382798542351778
FairAA_3Moment,30.0,0,0.8053111008182801,0.76,0.5419847328244275,0.18465478681191835,0.11386138613861385,0.11386138613861385,-0.8277540475284189,0.10377569231955153,0.5,0.595,0.06382798542351778
FairAA_3Moment,100.0,0,0.8053111008182801,0.76,0.5419847328244275,0.18465478681191835,0.11386138613861385,0.11386138613861385,-0.8277540475284189,0.10377569231955153,0.5,0.595,0.06382798542351778
FairAA_Adv,0.0,0,0.8579699596373983,0.768,0.5886524822695035,0.19944448452492602,0.12237559447859875,0.0363036303630363,0.08201742243019283,0.2191520448667843,0.514,0.619,0.07217431573299737
FairAA_Adv,0.03,0,0.8592712675621429,0.78,0.6126760563380281,0.24150494192338218,0.1469377102424313,0.14136413641364132,0.09467838990508237,0.2466853015342365,0.536,0.599,0.0762382943680692
FairAA_Adv,0.1,0,0.8590727629634531,0.784,0.6197183098591549,0.25052305028497224,0.15369446699918804,0.15126512651265123,0.09452906376931303,0.23711674084983503,0.525,0.61,0.07437259927097953
FairAA_Adv,0.3,0,0.858466221134123,0.778,0.6132404181184669,0.2324507611283457,0.15126512651265123,0.15126512651265123,0.09450951240055039,0.2086689314167378,0.5090000000000001,0.6040000000000001,0.06943621644408474
FairAA_Adv,1.0,0,0.8553122036216062,0.778,0.607773851590106,0.16636606305461368,0.06959749449019834,0.06600660066006603,0.09437428109388046,0.13984795879143774,0.492,0.59,0.05572146967474993
FairAA_Adv,3.0,0,0.8480998698692074,0.776,0.5912408759124088,0.11236563018541232,0.0489548954895489,0.0489548954895489,0.09395825022829085,0.06439385933897068,0.496,0.601,0.03502411314297514
FairAA_Adv,10.0,0,0.8291206246278038,0.8,0.5283018867924528,0.04397229637111319,0.1655665566556656,0.1655665566556656,0.0933482664552836,0.022541348066901223,0.496,0.6060000000000001,0.014737177190659567
FairAA_Adv,30.0,0,0.8353735194865348,0.762,0.5824561403508772,0.037082461582858384,0.09460946094609457,0.09460946094609457,0.09302608624445219,0.013153441890325301,0.496,0.62,0.005515252363898679
FairAA_Adv,100.0,0,0.18817133152473586,0.752,0.015873015873015872,0.002921867109155183,0.009900990099009901,0.009900990099009901,0.09284712662296346,0.011515465764253996,0.496,0.608,0.0017408644033636358
FairPCA_AA,0.0,0,0.8262423079468008,0.762,0.5938566552901023,0.07005266575283164,0.05500550055005504,0.05500550055005504,0.07892717943890837,0.026701030891110644,0.5,0.655,0.026571919408983263
FairPCA_AA,0.03,0,0.8262423079468008,0.762,0.5938566552901023,0.07005266575283164,0.05500550055005504,0.05500550055005504,0.07194223332059102,0.026701032172553374,0.5,0.655,0.026571919678757227
FairPCA_AA,0.1,0,0.8261540836807163,0.762,0.5938566552901023,0.07005266575283164,0.05500550055005504,0.05500550055005504,0.07208560826509092,0.02666834844915178,0.5,0.6609999999999999,0.026549634116205784
FairPCA_AA,0.3,0,0.8259335230155055,0.758,0.5870307167235495,0.07005266575283164,0.03111587982832617,0.0005500550055005382,0.06915341718848433,0.026534075178564764,0.5,0.657,0.026498047987047357
FairPCA_AA,1.0,0,0.8264408125454907,0.758,0.5870307167235495,0.06103455739124164,0.06490649064906495,0.06490649064906495,0.07274194186875416,0.028089777807908445,0.5,0.6849999999999999,0.027241024397430286
FairPCA_AA,3.0,0,0.8270142702750392,0.766,0.5923344947735192,0.07012481061972442,0.030477902795499362,0.009350935093509372,0.06616221385463728,0.02685373428360982,0.5,0.647,0.027268845008155473
FairPCA_AA,10.0,0,0.8364542667460685,0.77,0.5993031358885017,0.08816102734290454,0.012672543788423613,0.0005500550055005382,0.06820365021753994,0.044372267717778024,0.5,0.6369999999999999,0.03415632526661753
FairPCA_AA,30.0,0,0.8396303403251064,0.77,0.5993031358885017,0.09717913570449466,0.001623941538104634,0.0005500550055005382,0.07075793634024607,0.05323432922611593,0.5,0.62,0.03685927701185933
FairPCA_AA,100.0,0,0.8411963210481044,0.776,0.6028368794326241,0.10024529254743525,0.009350935093509372,0.009350935093509372,0.06892155411236023,0.05716798066081685,0.5,0.639,0.03796520385835624
Raw,,1,0.8830146231721036,0.802,0.6476868327402135,0.2776134478031888,0.18318640528940955,0.11551155115511558,,,,,
AA,,1,0.814100443326937,0.696,0.5449101796407185,0.17477094004761562,0.1012933534392762,0.05005500550055009,0.1048924524276812,0.16784223048177538,0.5700000000000001,0.607,0.0806848986740849
FairAA,0.0,1,0.814078387260416,0.696,0.5449101796407185,0.17477094004761562,0.1012933534392762,0.05005500550055009,0.10489455737759368,0.16785305002263795,0.5700000000000001,0.599,0.08068995918518848
FairAA,0.03,1,0.8140232470941133,0.692,0.5416666666666666,0.17174085563812136,0.09882844217608167,0.05005500550055009,0.10451711643125805,0.16851400264477456,0.5700000000000001,0.6,0.08064474810996378
FairAA,0.1,1,0.8112772668122367,0.69,0.5345345345345346,0.14472260298679746,0.07243939218188145,0.030253025302530268,0.10427641514447261,0.13950985919898407,0.552,0.5720000000000001,0.07310663155686319
FairAA,0.3,1,0.801671849842299,0.684,0.5269461077844312,0.09360796479330497,0.020352035203520358,0.020352035203520358,0.10392137902873089,0.05257473701036086,0.502,0.5519999999999999,0.04350826197294132
FairAA,1.0,1,0.7898056860539492,0.674,0.5134328358208955,0.0025972152081379374,0.08287901635541117,0.06490649064906495,0.10255687917863698,0.006044358502123259,0.499,0.529,0.007624398524703466
FairAA,3.0,1,0.7818434460398332,0.658,0.5236768802228412,0.029940119760479056,0.11661166116611654,0.11661166116611654,0.10177185624435747,0.00584195102749141,0.5,0.576,0.0017358318333348193
FairAA,10.0,1,0.7237477668232648,0.66,0.42567567567567566,0.03820070701969552,0.35808580858085814,0.35808580858085814,-0.2734757150263267,0.04963280119469449,0.499,0.5589999999999999,0.05053112346850295
