method,lambda,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha,auc_sd,acc_sd,f1_sd,dp_gap_sd,eo_gap_sd,eopp_gap_sd,ev_sd,mmd_alpha_sd,linsep_alpha_sd,nonlinsep_alpha_sd,dp_alpha_sd
Raw,,0.8964388274995038,0.8128799999999999,0.6774460580915154,0.3099689777072361,0.24426179249406205,0.20330033003300327,,,,,,0.013200191707709107,0.013614697940093987,0.022691101612943018,0.03299941371724566,0.05766777487670223,0.09596896763945553,0.0,0.0,0.0,0.0,0.0
AA,,0.8496080636979201,0.75456,0.5977993749617899,0.20638193492533002,0.14246190991909766,0.10545654565456541,0.08346507497183238,0.16670145581736584,0.54032,0.60648,0.06982179136868902,0.014719661036028429,0.022349645783919434,0.02603000968313171,0.05169724643037556,0.04439807669582382,0.07022910799329551,0.0190146772065654,0.055304502578078646,0.02796235564707192,0.043584324399184325,0.008348992782507968
FairAA,0.0,0.8496168861245286,0.7544,0.5976485154778994,0.20662145588341385,0.14263358373884014,0.10545654565456541,0.08345706414805855,0.16671060336829868,0.54028,0.6065999999999999,0.06982079861159671,0.01468414276782433,0.022390474164995584,0.025920115765039074,0.05221654351727922,0.04469230572510225,0.07022910799329551,0.019014572336981596,0.0553178337133832,0.028000773798831587,0.04222953153106643,0.008356335082348999
FairAA,0.03,0.8500655065175677,0.7536,0.5964124642606106,0.20662145588341385,0.1439517939730407,0.10926292629262922,0.0847239217428797,0.1679518481501032,0.53992,0.60632,0.07001862342625442,0.014991128464056099,0.022941955743426373,0.025288072015229143,0.05297365860868367,0.04334075508793036,0.06554294126096052,0.02077457548300244,0.05176662287037148,0.028197103870196798,0.04410944721183131,0.008713033549242676
FairAA,0.1,0.8483768940647124,0.75064,0.5920169348857837,0.19230935718923597,0.13363617941657288,0.10145214521452141,0.08461824658423027,0.14669421550688133,0.53132,0.59996,0.06505211263275791,0.015301893667496897,0.022867152570153277,0.024464679291126622,0.05239005715750167,0.0493975719170983,0.06665717315474362,0.020775548308577124,0.04558472804403631,0.026278508329050942,0.04516495691720886,0.00834126521228895
FairAA,0.3,0.8396969496460001,0.7414400000000001,0.5810332770815678,0.1260212105908664,0.0991892899996414,0.09001100110010998,0.08484375092690238,0.06540743744564152,0.5047200000000001,0.5908,0.04152299994930954,0.016105210632027845,0.023583327444051103,0.023417949324469556,0.044697145297995934,0.0619015871512109,0.06677278095353832,0.020827374838580315,0.02013092317442335,0.011219477111998883,0.036659468990516864,0.006943149734715858
FairAA,1.0,0.8217662498070095,0.72768,0.5603691386474974,0.029280715677079527,0.13206157119597817,0.12057205720572053,0.08366698530982682,0.011270353849282953,0.49976,0.58972,0.00916020890140433,0.015621606592617198,0.02260294966001858,0.022140886692421338,0.025400826321346458,0.06708868986753129,0.0764403309216217,0.020721988386671768,0.007129321382717548,0.001090871211463568,0.041075661893632355,0.0021722500994782235
FairAA,3.0,0.8117536778490924,0.70768,0.5474279427802742,0.059347810403289764,0.18006836862783826,0.16400440044004394,0.05517374391727329,0.17032244115052933,0.5197999999999999,0.6480800000000001,0.014806767038482856,0.03426736656940475,0.05165165373280254,0.027257250430094315,0.19596108439767035,0.18354228075932835,0.1928906182988802,0.1429213184861991,0.8043535322854292,0.1000449898795537,0.10940784554439716,0.06322475335221941
FairAA,10.0,0.7704448708617305,0.74328,0.5246111219481543,0.11317798138662431,0.12754641013341558,0.11997799779977995,-0.8276710416718877,0.07149423915393728,0.52532,0.57744,0.05926049157865667,0.026539129878800603,0.03937799724042177,0.03678214902753272,0.0637414802433614,0.07085031271588876,0.07821979452841749,0.4231845094098114,0.0357617653214637,0.026496414851824742,0.03192318906375116,0.015867757711340434
FairAA,30.0,0.7704448708617305,0.74328,0.5246111219481543,0.11317798138662431,0.12754641013341558,0.11997799779977995,-0.8276710416718877,0.07149423915393728,0.52532,0.57744,0.05926049157865667,0.026539129878800603,0.03937799724042177,0.03678214902753272,0.0637414802433614,0.07085031271588876,0.07821979452841749,0.4231845094098114,0.0357617653214637,0.026496414851824742,0.03192318906375116,0.015867757711340434
FairAA,100.0,0.7704448708617305,0.74328,0.5246111219481543,0.11317798138662431,0.12754641013341558,0.11997799779977995,-0.8276710416718877,0.07149423915393728,0.52532,0.57744,0.05926049157865667,0.026539129878800603,0.03937799724042177,0.03678214902753272,0.0637414802433614,0.07085031271588876,0.07821979452841749,0.4231845094098114,0.0357617653214637,0.026496414851824742,0.03192318906375116,0.015867757711340434
FairAA_3Moment,0.0,0.8495935066940161,0.7544,0.5976485154778994,0.20662145588341385,0.14263358373884014,0.10545654565456541,0.08345706573725992,0.1667108846329165,0.54028,0.6065200000000001,0.06982089937586072,0.014705975417614304,0.022390474164995584,0.025920115765039074,0.05221654351727922,0.04469230572510225,0.07022910799329551,0.019014572515606756,0.05531837351165174,0.028000773798831587,0.04213976744121876,0.008356430344733162
FairAA_3Moment,0.03,0.8350978186550211,0.73616,0.5739552538510027,0.09678811052593604,0.08205149015075497,0.07368536853685365,0.08473592684947541,0.035997516958113,0.50096,0.58928,0.030607055258891534,0.015181722738897124,0.022120277273729352,0.02223513673812151,0.033516020525006615,0.05942059543432812,0.06367851488874003,0.020934723542052457,0.008610537534985687,0.006187891401762011,0.04472743378882066,0.005868769117697419
FairAA_3Moment,0.1,0.7983863781733166,0.7220799999999999,0.5426671381611363,0.04670225813433371,0.10006828951077448,0.08926292629262923,0.0840920187256379,0.011280303980836424,0.49976,0.59504,0.014280182216402872,0.13122362875665664,0.05445328272932681,0.11381402353729272,0.023749224971148907,0.06388091747123409,0.07071800170731686,0.020707243841796365,0.004453226492113122,0.0011999999999999834,0.04349854403693685,0.004285981336955621
FairAA_3Moment,0.3,0.777850415756854,0.70696,0.5054166731285652,0.1009364403722675,0.19110704679097995,0.17401540154015396,0.0603105093521771,0.32487668830248495,0.5592,0.6434399999999999,0.05356863782432814,0.1243401341181906,0.06590933166100232,0.14496224961106655,0.269299689213332,0.24981739723747776,0.2583387700932714,0.06675525992983204,0.8836802494135872,0.16475436261295176,0.13875850724670302,0.1301305958620296
FairAA_3Moment,1.0,0.8186885462846556,0.72488,0.5570894966088339,0.018503715460644915,0.13501668795808933,0.12057205720572052,0.08347080168832363,0.003926121996189412,0.49964,0.59972,0.003157444496022252,0.015308203031410667,0.024201101903288058,0.021725523456533342,0.011502410052291061,0.05797577620952386,0.073606218459451,0.020611298910393327,0.0020687894804435197,0.0009073771725877398,0.04532063547656845,0.0009626780282401572
FairAA_3Moment,3.0,0.8168433357595006,0.73712,0.5597691773910196,0.01569150854916668,0.14163531142581834,0.12952695269526948,0.08324950005092217,0.0038320929267370717,0.49976,0.62704,0.0017999998216050362,0.01708537828908898,0.02885642620515116,0.021735509224269742,0.011914182885829024,0.06935257827937316,0.07988939389907582,0.020549360307535548,0.0020571544258268983,0.0008306623862918085,0.05504050023997481,0.0006670565342153925
FairAA_3Moment,10.0,0.8065281545689141,0.74664,0.5567654036546695,0.13831902460139955,0.1197343989125742,0.09949394939493944,-0.8873300793492903,0.06850875917191601,0.51908,0.56056,0.053681563747799636,0.024157136109681066,0.03840017361071868,0.02949684680196305,0.057425448574519526,0.06415480906259553,0.07600457232673112,0.46075202863654496,0.020179699847105985,0.023174914598907758,0.03323161145656343,0.010577157951716678
FairAA_3Moment,30.0,0.8065281545689141,0.74664,0.5567654036546695,0.13831902460139955,0.1197343989125742,0.09949394939493944,-0.8873300793492903,0.06850875917191601,0.51908,0.56056,0.053681563747799636,0.024157136109681066,0.03840017361071868,0.02949684680196305,0.057425448574519526,0.06415480906259553,0.07600457232673112,0.46075202863654496,0.020179699847105985,0.023174914598907758,0.03323161145656343,0.010577157951716678
FairAA_3Moment,100.0,0.8065281545689141,0.74664,0.5567654036546695,0.13831902460139955,0.1197343989125742,0.09949394939493944,-0.8873300793492903,0.06850875917191601,0.51908,0.56056,0.053681563747799636,0.024157136109681066,0.03840017361071868,0.02949684680196305,0.057425448574519526,0.06415480906259553,0.07600457232673112,0.46075202863654496,0.020179699847105985,0.023174914598907758,0.03323161145656343,0.010577157951716678
FairAA_Adv,0.0,0.8496168861245286,0.7544,0.5976485154778994,0.20662145588341385,0.14263358373884014,0.10545654565456541,0.08345706414805855,0.16671060336829868,0.54028,0.6065999999999999,0.06982079861159671,0.01468414276782433,0.022390474164995584,0.025920115765039074,0.05221654351727922,0.04469230572510225,0.07022910799329551,0.019014572336981596,0.0553178337133832,0.028000773798831587,0.04222953153106643,0.008356335082348999
FairAA_Adv,0.03,0.8493914731246829,0.75288,0.5951045182594425,0.2067441021571315,0.14393858397555329,0.11251925192519248,0.08525040133552149,0.16668098852966942,0.53896,0.60264,0.06966155369770495,0.015285247063897273,0.023459752769370797,0.02463505373036091,0.05440103078448928,0.046198886489301136,0.06554221035569252,0.02093035888340641,0.05104607639113664,0.02733203248937041,0.039979036173141226,0.008583743773302446
FairAA_Adv,0.1,0.8492529610269305,0.7524,0.5948214895063236,0.202170117596133,0.14427570178430668,0.11331133113311327,0.08526565699124608,0.15919448418887655,0.5354,0.60208,0.06778101620390924,0.015033014894197378,0.023437861108329277,0.02479268604459595,0.05299793880925525,0.05633840970905888,0.0740624434914309,0.020868133503457887,0.049038121647442416,0.026669270706189182,0.03650447461156873,0.008518585048506104
FairAA_Adv,0.3,0.8478907783585875,0.7492,0.5911778442009165,0.1886876848712214,0.1357175732652722,0.10728272827282723,0.0853283818829415,0.14028461654573451,0.52536,0.59212,0.06326576253831284,0.01532278270126857,0.022338307903688695,0.024222080880703434,0.05296840740097953,0.06056585125973633,0.07545675469495934,0.02076685566784537,0.044159851554349434,0.02352105439813445,0.0423687384754373,0.00793419301815845
FairAA_Adv,1.0,0.8439542116059022,0.7444799999999999,0.5844098743344883,0.15537262823750086,0.114277840497192,0.10068206820682064,0.08518965838199595,0.09660290938706735,0.50996,0.5918800000000001,0.05127775586277559,0.01610183429398575,0.02272502291894701,0.024460922100389335,0.04910445742347671,0.062734220756153,0.06815347257757734,0.020742938358059484,0.032341784933661924,0.014875819305167712,0.04684221742545213,0.0065707423492955405
FairAA_Adv,3.0,0.8370484571781469,0.74032,0.5780477178525321,0.10426809032537332,0.08933495982703477,0.08138613861386138,0.0847497237228779,0.04686286687387662,0.5002,0.59396,0.03289998928420044,0.016427459338663603,0.024080974509627606,0.02332232176262828,0.04482717874298844,0.06742022961327612,0.07102643698301747,0.020681687242800423,0.01802088127364392,0.0018484227510682492,0.05358908470948164,0.004441561455968137
FairAA_Adv,10.0,0.8269803039325967,0.7248,0.5535319529202439,0.047922949282158525,0.09943318493779545,0.08979097909790976,0.08400391650924303,0.017355925003072932,0.49976,0.64372,0.014172348491491236,0.01652758824394284,0.05778696508152451,0.024975443300691035,0.026773274071220474,0.07531205188602028,0.08138045991692436,0.020608256021700862,0.008841542722286374,0.0008306623862918085,0.08539004625833158,0.002034121835414791
FairAA_Adv,30.0,0.5657698670019189,0.5868800000000001,0.3453055140303431,0.028778587403506188,0.10789996132196443,0.0986358635863586,0.08354720355710649,0.010660796083091548,0.49972,0.70568,0.005241746039080184,0.27392917688358864,0.1953314106845082,0.20734816539795387,0.026635966846871372,0.07277841178690198,0.07629286720992602,0.020558091522427508,0.007161353269668727,0.0009797958971132727,0.11665501846613088,0.000840492947176272
FairAA_Adv,100.0,0.49177264606630056,0.55752,0.2736443273047905,0.14895606377606227,0.1966712120695888,0.1713531353135313,-0.03653718933523418,0.544212959852783,0.62596,0.8206,0.0459391025421919,0.23685281780935205,0.1983332885154011,0.19411661519156675,0.2577159611630237,0.2665621927137278,0.24917269742909598,0.21406356167313392,0.9718247384260984,0.18881902269986817,0.12563571678998509,0.06471415189281851
FairPCA_AA,0.0,0.7986457575156046,0.7244799999999999,0.5460146164406755,0.04737464829377386,0.13999871881399945,0.1309570957095709,0.07612984720523283,0.031013089786253892,0.5,0.6175200000000001,0.017028245438429956,0.02442511223837146,0.026148804944012272,0.033866711826458056,0.03400609084427884,0.08789180156742774,0.09315152421111443,0.019100278129840473,0.019537174404244243,0.0007637626158259689,0.05336050349587541,0.010107105545054043
FairPCA_AA,0.03,0.7987066322592028,0.72456,0.5462096180464381,0.0470124810619724,0.14056643223770232,0.1313531353135313,0.06846754403009006,0.031010024671501123,0.5,0.61924,0.017047055074009426,0.024480733441763054,0.026296514344427188,0.0340707549032771,0.03408728935255211,0.08758706757245789,0.09292850619389588,0.019692129148748055,0.01954269390801911,0.0007637626158259689,0.05423658052151396,0.01009482391439323
FairPCA_AA,0.1,0.7987022210458987,0.7244799999999999,0.5461338762804198,0.04725344491739408,0.14039475841795984,0.1313531353135313,0.06854085961342038,0.03100321587271521,0.5,0.6204,0.017052501479091892,0.02445823932018633,0.026237886093713157,0.03400007806521175,0.0341154367549077,0.08761283866120044,0.09292850619389588,0.019958718708198184,0.01954289771218479,0.0007637626158259689,0.055357926261737786,0.010096549554983977
FairPCA_AA,0.3,0.7984648977701316,0.7242399999999999,0.5456711290300686,0.04749440877281577,0.13984336990711013,0.12952695269526948,0.06496268317837554,0.030976707804647913,0.5,0.61604,0.017033828508245488,0.024606302147228958,0.02598281483339835,0.03358016608390961,0.033630971981004724,0.08831813380240952,0.09491864417159282,0.020538351814877124,0.019542969074933483,0.0007637626158259689,0.05362716973077483,0.010086237493933505
