method,lambda,seed,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha
Raw,,0,0.889920424403183,0.834,0.5146198830409356,0.15392416913715087,0.12870135363790183,0.050000000000000044,,,,,
AA,,0,0.6650413481042284,0.64,0.26229508196721313,0.027773443594944602,0.05833333333333335,0.05833333333333335,0.1545581789788124,0.020276134614460095,0.5,0.502609464838567,0.02823267868411716
FairAA,0.0,0,0.6650413481042284,0.64,0.26229508196721313,0.027773443594944602,0.05833333333333335,0.05833333333333335,0.1545581789788112,0.020276134207553587,0.5,0.502609464838567,0.0282326783676487
FairAA,0.03,0,0.6650413481042284,0.64,0.26229508196721313,0.027773443594944602,0.05833333333333335,0.05833333333333335,0.1545531595847276,0.020200913433256584,0.5,0.503361344537815,0.028181621738817574
FairAA,0.1,0,0.6650413481042284,0.64,0.26229508196721313,0.027773443594944602,0.05833333333333335,0.05833333333333335,0.15455244191957462,0.020010063341404427,0.5,0.503361344537815,0.027934435089600536
FairAA,0.3,0,0.6649243251677328,0.644,0.2644628099173554,0.032298330472772696,0.05833333333333335,0.05833333333333335,0.15451573446136946,0.01821403189174131,0.5,0.49522335249889426,0.02558538038331866
FairAA,1.0,0,0.665158371040724,0.638,0.2612244897959184,0.025511000156030583,0.05833333333333335,0.05833333333333335,0.15438695527130597,0.01405121560689837,0.5,0.5099955771782397,0.013953211908978032
FairAA,3.0,0,0.6635980652207832,0.646,0.2716049382716049,0.01053206428459974,0.03749999999999998,0.03749999999999998,0.15402516679611244,0.014447220969686203,0.5,0.5222467934542238,0.003415279220702467
FairAA,10.0,0,0.6046185052270244,0.7,0.2268041237113402,0.01513496645342488,0.032254653130287664,0.025000000000000022,0.07390798882651717,0.0148631933690343,0.5,0.4924812030075188,0.031415111589804846
FairAA,30.0,0,0.6046185052270244,0.7,0.2268041237113402,0.01513496645342488,0.032254653130287664,0.025000000000000022,0.07390798882651717,0.0148631933690343,0.5,0.4924812030075188,0.031415111589804846
FairAA,100.0,0,0.6046185052270244,0.7,0.2268041237113402,0.01513496645342488,0.032254653130287664,0.025000000000000022,0.07390798882651717,0.0148631933690343,0.5,0.4924812030075188,0.031415111589804846
FairAA_3Moment,0.0,0,0.6650413481042283,0.64,0.26229508196721313,0.027773443594944602,0.05833333333333335,0.05833333333333335,0.1545581805187859,0.020276136113493215,0.5,0.502609464838567,0.02823268116900555
FairAA_3Moment,0.03,0,0.6646902792947418,0.646,0.26556016597510373,0.034560773911686715,0.05833333333333335,0.05833333333333335,0.15453975615601778,0.018252731924953025,0.5,0.4959752321981424,0.025885032547241425
FairAA_3Moment,0.1,0,0.6653924169137151,0.64,0.26229508196721313,0.027773443594944602,0.05833333333333335,0.05833333333333335,0.15447884539362633,0.015992440892891202,0.5,0.5041132242370632,0.023150461682740334
FairAA_3Moment,0.3,0,0.6658605086596973,0.64,0.26229508196721313,0.027773443594944602,0.05833333333333335,0.05833333333333335,0.1543311701409814,0.012193859508711768,0.5,0.48920831490490935,0.014811661862297189
FairAA_3Moment,1.0,0,0.6644172257762522,0.638,0.2612244897959184,0.006007177406771702,0.05833333333333335,0.05833333333333335,0.1540719368211223,0.009716077556346625,0.5,0.5039805395842547,0.007315257071312524
FairAA_3Moment,3.0,0,0.6605554688718989,0.686,0.26976744186046514,0.023638633172101742,0.12083333333333329,0.12083333333333329,0.15389010244960954,0.008367856490582137,0.5,0.5187527642636002,0.002939525127428691
FairAA_3Moment,10.0,0,0.6605164612264003,0.682,0.2672811059907834,0.028163520049929835,0.12083333333333329,0.12083333333333329,0.15367807290166557,0.007970256310707358,0.5,0.5077399380804952,0.0009820926310596598
FairAA_3Moment,30.0,0,0.6414417225776252,0.596,0.25735294117647056,0.003432672803869552,0.125,0.125,0.06322902927581209,0.015620612125330613,0.5,0.5002211410880142,0.005048465070301024
