method,lambda,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha,auc_sd,acc_sd,f1_sd,dp_gap_sd,eo_gap_sd,eopp_gap_sd,ev_sd,mmd_alpha_sd,linsep_alpha_sd,nonlinsep_alpha_sd,dp_alpha_sd
Raw,,0.9053643314089561,0.85568,0.5615925006323471,0.10782337338118268,0.1413011844331641,0.11633333333333332,,,,,,0.012749399549140367,0.011426285485668566,0.024951325880724663,0.046996221351962686,0.08248853472487526,0.09240485597308948,0.0,0.0,0.0,0.0,0.0
AA,,0.6922335777812451,0.6344,0.2836211262892787,0.05678264939928223,0.15919543147208118,0.1503333333333333,0.14500799659515903,0.07446479051112416,0.49996992481203006,0.5192410437859354,0.06449881553616059,0.027959223681542977,0.03205204101665501,0.025759458437354818,0.047140884457980176,0.10830007263073477,0.1162562224539369,0.009479371326783292,0.05095611764777356,0.00015037593984962665,0.01764947181218528,0.02792059633773692
FairAA,0.0,0.6922647838976439,0.6344,0.2836211262892787,0.05678264939928223,0.15919543147208118,0.1503333333333333,0.14500791663687843,0.0744668785343814,0.49996992481203006,0.5193011941618753,0.0644995545118265,0.027968444419683745,0.03205204101665501,0.025759458437354818,0.047140884457980176,0.10830007263073477,0.1162562224539369,0.00947949576078604,0.050959582725187164,0.00015037593984962665,0.017764154997630052,0.02792131703856677
FairAA,0.03,0.6922218754875956,0.6344,0.2833512049972823,0.056601653924169104,0.15901607445008456,0.1508333333333333,0.1450134028260318,0.07417559413633797,0.49996992481203006,0.5185758513931888,0.0643077063993497,0.027975823127877414,0.03165964834506749,0.025460209417138918,0.04682128772207026,0.1082888240376083,0.11562656405348565,0.009481115059936769,0.05076100203815239,0.00015037593984962665,0.01927635419541903,0.02783929031324901
FairAA,0.1,0.6923232953658918,0.634,0.2833464239315383,0.055369012326415945,0.1586878172588832,0.1503333333333333,0.14501656796693926,0.07179876363237522,0.49996992481203006,0.518515701017249,0.06306589302151296,0.027924851510973427,0.03148015247739442,0.025301122654947366,0.04419299703391464,0.10866252372891641,0.1162562224539369,0.009478657091314386,0.04886643152336331,0.00015037593984962665,0.020657556259857504,0.027306070639902834
FairAA,0.3,0.6924964893119051,0.63408,0.28360728006840313,0.05108441254485875,0.16226057529610824,0.1543333333333333,0.14500216607392447,0.05605795994108505,0.5,0.5128792569659443,0.054241580799660294,0.027608228160270233,0.030938002521171293,0.02515540913092256,0.039242279454534394,0.10751593541935184,0.11542293404563803,0.009466140771520953,0.03612079918224975,0.0,0.020239794367473474,0.023280470879463444
FairAA,1.0,0.6926306756124201,0.63288,0.2839957838998547,0.040889374317366146,0.15471912013536376,0.1478333333333333,0.14471006861586555,0.020698354940828743,0.5,0.5123626713843432,0.022849677662295467,0.027508729278359356,0.029229437216614352,0.02617644555793686,0.025247393522050573,0.07603575546090491,0.08390532859518916,0.009338532063701985,0.010013556806426764,0.0,0.017924714627623232,0.009634228554482337
FairAA,3.0,0.6895038227492588,0.63616,0.2829518196705201,0.030076454985177047,0.14904906937394244,0.1421666666666666,0.1438145952480068,0.013509662408170935,0.5,0.5502096417514374,0.0057468502217147,0.028694789615127468,0.033901425732064276,0.025864655392778404,0.020307031077894482,0.07625716146820248,0.08430269535693652,0.00915382217064399,0.005762311328414723,0.0,0.03951162188456568,0.0026933770944770645
FairAA,10.0,0.6506085192697769,0.58512,0.2573784000469933,0.06834763613668275,0.14143062605752957,0.1188333333333333,0.047241662434699155,0.04345794509904184,0.5,0.5193365767359576,0.0416433350720437,0.03699896766419105,0.11156624340124868,0.03032684654239385,0.05459114491975354,0.07944441635226458,0.09258629608220766,0.10132061400427494,0.0282880437910423,0.0,0.04124607160318587,0.023796450962393915
FairAA,30.0,0.6455297238258698,0.58144,0.25244644435023617,0.0745202059603682,0.1482639593908629,0.12566666666666665,0.00876310342268484,0.04442437835352964,0.5,0.5082388323750553,0.04363000493344524,0.03463149600754781,0.11248188002222104,0.02676027261663153,0.05233894352055668,0.08360764649751444,0.09784039582685443,0.14980453485278683,0.02728905420107392,0.0,0.016900294504917136,0.02110683233035603
