method,lambda,seed,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha
Raw,,0,0.5870888661899898,0.618,0.18025751072961374,0.009945444889682797,0.18,0.18,,,,,
AA,,0,0.5993054136874362,0.572,0.21897810218978103,0.06580408439144497,0.09999999999999998,0.09999999999999998,0.25763983777459587,0.00849847213505489,0.5111111111111111,0.49629629629629635,0.015507929008277294
FairAA,0.0,0,0.5993054136874362,0.572,0.21897810218978103,0.06580408439144497,0.09999999999999998,0.09999999999999998,0.25763984393981276,0.008498464963052177,0.5111111111111111,0.49629629629629635,0.015507929424898023
FairAA,0.03,0,0.59926455566905,0.572,0.21897810218978103,0.06580408439144497,0.09999999999999998,0.09999999999999998,0.2576501019815556,0.008463519012943843,0.5111111111111111,0.49940955448201835,0.015455980583915585
FairAA,0.1,0,0.5986925434116446,0.568,0.22302158273381295,0.06458101997135451,0.0802697322988179,0.06666666666666665,0.25764967512216974,0.008184023913812732,0.5108964036500268,0.4911433172302738,0.015011041735150462
FairAA,0.3,0,0.5983656792645556,0.568,0.21739130434782608,0.04909959928547286,0.09999999999999998,0.09999999999999998,0.2576408555475176,0.006634989090447685,0.5032206119162642,0.5274825550187868,0.012380285704723422
FairAA,1.0,0,0.597752808988764,0.574,0.2140221402214022,0.030512238690677318,0.1333333333333333,0.1333333333333333,0.25734854974502885,0.004306005258933376,0.4885131508319914,0.5904455179817498,0.00625885503086919
FairAA,3.0,0,0.6076813074565883,0.604,0.2265625,0.01498253914610792,0.1333333333333333,0.1333333333333333,0.2567493680956531,0.004222481680971446,0.47300053676865267,0.7117552334943639,0.0015415570086022175
FairAA,10.0,0,0.5720326864147088,0.632,0.21367521367521367,0.021709393456605386,0.1933333333333334,0.1933333333333334,-0.004735257931750336,0.014064210324973292,0.5153515834675255,0.5088030059044552,0.023510476378994494
FairAA,30.0,0,0.5720326864147088,0.632,0.21367521367521367,0.021709393456605386,0.1933333333333334,0.1933333333333334,-0.004735257931750336,0.014064210324973292,0.5153515834675255,0.5088030059044552,0.023510476378994494
FairAA,100.0,0,0.5720326864147088,0.632,0.21367521367521367,0.021709393456605386,0.1933333333333334,0.1933333333333334,-0.004735257931750336,0.014064210324973292,0.5153515834675255,0.5088030059044552,0.023510476378994494
FairAA_3Moment,0.0,0,0.5993054136874362,0.572,0.21897810218978103,0.06580408439144497,0.09999999999999998,0.09999999999999998,0.2576398483019736,0.008498241168669207,0.5111111111111111,0.49629629629629635,0.015507928961731254
FairAA_3Moment,0.03,0,0.5986516853932584,0.568,0.21739130434782608,0.04909959928547286,0.09999999999999998,0.09999999999999998,0.25762860111184493,0.005858083832313843,0.5042404723564144,0.5177670424047236,0.011374717202240656
FairAA_3Moment,0.1,0,0.5986108273748724,0.572,0.21323529411764705,0.026183234361673025,0.1333333333333333,0.1333333333333333,0.2575471093545626,0.0043400561995093345,0.4940955448201826,0.5422973698336018,0.008629456625959276
FairAA_3Moment,0.3,0,0.5989785495403473,0.576,0.21481481481481482,0.01874829012375484,0.1333333333333333,0.1333333333333333,0.2573437635456185,0.003097163836628447,0.48641975308641977,0.5835748792270532,0.0061337245111526386
FairAA_3Moment,1.0,0,0.5990194075587334,0.574,0.2140221402214022,0.022465762242713905,0.1333333333333333,0.1333333333333333,0.2568677637520608,0.002205334443502238,0.4767042404723564,0.6280193236714975,0.0035174871178988904
FairAA_3Moment,3.0,0,0.6056384065372831,0.654,0.2311111111111111,0.020438050177827127,0.08666666666666667,0.08666666666666667,0.25620829683925206,0.0018826893683833723,0.4674181427804617,0.6416532474503489,0.0018114569230794186
