method,lambda,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha,auc_sd,acc_sd,f1_sd,dp_gap_sd,eo_gap_sd,eopp_gap_sd,ev_sd,mmd_alpha_sd,linsep_alpha_sd,nonlinsep_alpha_sd,dp_alpha_sd
Raw,,0.5490558292350427,0.5816,0.20427258818591937,0.044608351155885184,0.12449700321749713,0.12324102564102558,,,,,,0.0311742526321772,0.016268579122549885,0.022707824156628614,0.035333066174941,0.07757047112793726,0.07884628865251488,0.0,0.0,0.0,0.0,0.0
AA,,0.5409071470638886,0.55232,0.19690097189766398,0.04722222260874017,0.1100679335775732,0.09374358974358969,0.2316413380204615,0.01298991069418506,0.5148650563607086,0.5084669887278583,0.017170264636493356,0.032130217623469834,0.02686807275063344,0.019768739999088604,0.0379430612182086,0.06181173977389511,0.0720760671547631,0.014949909971142119,0.007578722166577478,0.020400304173695222,0.02156113603292748,0.00682514597407529
FairAA,0.0,0.5409103773516695,0.55232,0.19690097189766398,0.04722222260874017,0.1100679335775732,0.09374358974358969,0.23164185398507603,0.012990036564030492,0.5148650563607086,0.508828383559543,0.017170608986110173,0.03212610268682023,0.02686807275063344,0.019768739999088604,0.0379430612182086,0.06181173977389511,0.0720760671547631,0.0149495903955888,0.007578857315995495,0.020400304173695222,0.02156312853534957,0.006825110615329539
FairAA,0.03,0.5409162125353136,0.55216,0.196847311726097,0.04752073007142674,0.1100679335775732,0.09374358974358969,0.23164349119512623,0.01294281377339632,0.5147215819339008,0.5101289586688137,0.017122840761443082,0.03212368316313405,0.026999506168323365,0.01977245282865347,0.03816524276350735,0.06181173977389511,0.0720760671547631,0.01494980076498496,0.007538852448106089,0.02031300780469692,0.021404267534660085,0.006805692240322987
FairAA,0.1,0.5408860031708346,0.55216,0.19706291745910445,0.04659083779904488,0.10927872286952592,0.09241025641025637,0.23164006042642277,0.012507783865874615,0.5136633425350816,0.5065401502952228,0.01668383792822969,0.03212196657258811,0.026745217641041274,0.019979278817515773,0.03777961802421997,0.06207105684462293,0.07226357992490717,0.014951964024769797,0.007180149457387129,0.02018522568910941,0.020447193820740787,0.006623824224818662
FairAA,0.3,0.5408692263400128,0.55112,0.19652487909078928,0.0393812952030899,0.10689517677573272,0.09708717948717943,0.23160382459345563,0.009943092332236064,0.5053283720573576,0.5050106356874473,0.013779315803048076,0.03219154265135131,0.027851271664563772,0.02024431076463722,0.029265997391767797,0.06069744886644421,0.0676043069534036,0.014944260510833468,0.0050397127308415834,0.016819996077953477,0.02161793810479073,0.005390770960856463
FairAA,1.0,0.5408557256767931,0.55064,0.1963987957569589,0.023514433303974194,0.10394649564007512,0.10108717948717943,0.23123437800729849,0.005920821000857952,0.4894489724714362,0.5382379763821793,0.005429685322006575,0.03265019971141514,0.02884857015520872,0.02046224321631445,0.018607468897370263,0.06715744665353172,0.07025895559678932,0.014867461615682288,0.002033627979210837,0.009105267617902773,0.040305405968282526,0.001945053970030884
FairAA,3.0,0.5348982977468932,0.5352,0.19617032305030424,0.019919265763455218,0.11406957968103228,0.11187692307692304,0.23076291527152382,0.0059659133813696795,0.48710323594816346,0.5969058891189326,0.001047494529636756,0.0373443968455675,0.05687999062353413,0.020155535802068306,0.018341605592638217,0.1002639699316638,0.10207497470106734,0.014790479955843799,0.0022035943508005138,0.008455474162614532,0.06727659297688454,0.00038932239436118547
FairAA,10.0,0.5219460216345048,0.55232,0.18346697449503171,0.04005400668269182,0.11286537664103045,0.103425641025641,0.053364976858235574,0.01075273289200365,0.5027312130971552,0.509690303657695,0.016950478308613758,0.031112406416311866,0.08472835023375196,0.028094105335779853,0.023216034907590836,0.07377135095925336,0.08115222180089443,0.05114365018446647,0.0044463099280869145,0.016585203118444945,0.02757555132067552,0.004693536630931367
FairAA,30.0,0.5219460216345048,0.55232,0.18346697449503171,0.04005400668269182,0.11286537664103045,0.103425641025641,0.053364976858235574,0.01075273289200365,0.5027312130971552,0.509690303657695,0.016950478308613758,0.031112406416311866,0.08472835023375196,0.028094105335779853,0.023216034907590836,0.07377135095925336,0.08115222180089443,0.05114365018446647,0.0044463099280869145,0.016585203118444945,0.02757555132067552,0.004693536630931367
FairAA,100.0,0.5219460216345048,0.55232,0.18346697449503171,0.04005400668269182,0.11286537664103045,0.103425641025641,0.053364976858235574,0.01075273289200365,0.5027312130971552,0.509690303657695,0.016950478308613758,0.031112406416311866,0.08472835023375196,0.028094105335779853,0.023216034907590836,0.07377135095925336,0.08115222180089443,0.05114365018446647,0.0044463099280869145,0.016585203118444945,0.02757555132067552,0.004693536630931367
FairAA_3Moment,0.0,0.5409095729758652,0.55232,0.19690097189766398,0.04722222260874017,0.1100679335775732,0.09374358974358969,0.23164185820441435,0.012989856741329854,0.5148650563607086,0.508728383559543,0.01717060895851551,0.032126753492075576,0.02686807275063344,0.019768739999088604,0.0379430612182086,0.06181173977389511,0.0720760671547631,0.014949590683575521,0.00757884798659171,0.020400304173695222,0.021568440828193685,0.00682511121501317
FairAA_3Moment,0.03,0.5405853956904518,0.55088,0.1964294077239399,0.034977131814544496,0.10045901612356543,0.09093333333333328,0.23156376740349266,0.008553327353400593,0.501055900621118,0.5033328157349897,0.012326383968390652,0.03212444482178256,0.027123667401981858,0.020396465382789157,0.02700256667673769,0.06075620148722555,0.067217598636914,0.014936155908937373,0.0042668450826701,0.015142534286870386,0.02362411197023424,0.004759506598955834
FairAA_3Moment,0.1,0.5406281074705233,0.55008,0.19680497895920618,0.025823788982310514,0.09577179522103661,0.08918974358974355,0.23135851915593603,0.0057681697127904275,0.4940058124376965,0.5051170194003527,0.008499539913817604,0.032086409799831295,0.027107686486800467,0.020811727587260475,0.02127204792870389,0.06154762728380343,0.06741540750102663,0.014918001767351861,0.002415801379696936,0.010691473188825042,0.02546077719438083,0.0030689358038251007
FairAA_3Moment,0.3,0.5407956083545971,0.55064,0.19801340970368847,0.02032819974761972,0.09352202982267521,0.09093333333333328,0.23098673593296606,0.003793242607757368,0.48888420749942485,0.5102892454566367,0.0050138602098932315,0.03231289565554391,0.02945459783010677,0.021601527196998847,0.01652497308559764,0.061066307351874925,0.06407276572361424,0.014875070551340285,0.0013246214999599773,0.009107278616718653,0.02950908762390213,0.001756195245912147
