method,lambda,seed,ev,mmd,ls,nls,dp,rtime
AA,,0,0.9775102779283797,1.1088626810263207,0.9933259176863182,0.9834260289210235,0.31515431667191596,0.04807720804819837
AA,,1,0.9775102779283816,1.1088626850275816,0.9896551724137931,0.9726362625139042,0.31515432107699426,0.04682649997994304
AA,,2,0.9775102779283781,1.1088626721846309,0.9933259176863182,0.9765294771968854,0.3151543137739264,0.033582417003344744
AA,,3,0.977510277928381,1.1088626795472794,0.9866518353726363,0.9558398220244717,0.31515431882319866,0.04904341697692871
AA,,4,0.9775102779283797,1.1088626680115756,1.0,0.9659621802002224,0.31515431350513434,0.04902858397690579
AA,,5,0.9775102779283811,1.1088626782438027,0.9967741935483871,0.9597330367074527,0.31515431705164426,0.04571195796597749
AA,,6,0.9775102779283813,1.1088626791120026,0.9935483870967742,0.9735261401557287,0.3151543188381718,0.049076042021624744
AA,,7,0.9775102779283805,1.1088626734847558,0.9967741935483871,0.9636262513904338,0.3151543175161843,0.04456629202468321
AA,,8,0.9775102779283812,1.1088626766541694,1.0,0.9556173526140157,0.31515431757998164,0.04184737498871982
AA,,9,0.9775102779283796,1.108862665876807,1.0,0.9558398220244717,0.31515431380284775,0.043369124992750585
AA,,10,0.9775102779283813,1.1088626822175525,0.9765294771968854,0.9664071190211345,0.31515431927038484,0.04843154101399705
AA,,11,0.9775102779283816,1.1088626770384586,0.9864293659621802,0.9622914349276975,0.31515431798608023,0.048690915980841964
AA,,12,0.97751027792838,1.1088626748838348,0.9967741935483871,0.960400444938821,0.3151543170705623,0.04594920895760879
AA,,13,0.9775102779283796,1.1088626693762844,0.9866518353726363,0.9797552836484982,0.3151543157195054,0.04416062502423301
AA,,14,0.97751027792838,1.108862677825304,0.9965517241379309,0.9622914349276975,0.31515431754125617,0.043795542034786195
AA,,15,0.9775102779283797,1.1088626805283766,0.9870967741935484,0.9769744160177976,0.3151543177133775,0.04754070896888152
AA,,16,0.9775102779283806,1.1088626791672724,0.9797552836484982,0.9829810901001114,0.31515431789644915,0.050970791024155915
AA,,17,0.9775102779283791,1.1088626840825664,0.9903225806451612,0.9666295884315905,0.3151543172924247,0.05276870902162045
AA,,18,0.9775102779283813,1.1088626762352463,0.9967741935483871,0.9664071190211345,0.31515431863318166,0.0470046250266023
AA,,19,0.9775102779283815,1.1088626841916465,0.9901001112347053,0.956729699666296,0.3151543206293597,0.04729329200927168
FairAA,0.0,0,0.9775102779283815,1.1088626740550296,0.9933259176863182,0.9802002224694105,0.3151543169294636,0.04116029100259766
FairAA,0.004999999999999999,0,0.9775070519419427,1.1067847547681384,0.9933259176863182,0.9802002224694105,0.3145467791688008,0.008672041993122548
FairAA,0.00750618940298613,0,0.9775053620621036,1.1047266618256704,0.9868743047830923,0.9802002224694105,0.31403202813056297,0.009810583957005292
FairAA,0.011268575870700261,0,0.9774460117875476,1.0973090926211468,0.9868743047830923,0.9802002224694105,0.31208673207842474,0.010341209010221064
FairAA,0.01691681295747911,0,0.9773660372636436,1.0854832346238357,0.9868743047830923,0.9737486095661847,0.3089158720699857,0.01713254099013284
FairAA,0.02539616043074563,0,0.9769079873214931,1.054803950171952,0.9834260289210235,0.9666295884315907,0.3007573362150457,0.017036167031619698
FairAA,0.038125678060359706,0,0.9751690053154524,1.0023283082928511,0.9799777530589544,0.9470522803114572,0.2862254409717055,0.02163612499134615
FairAA,0.0572357121276666,0,0.9688178205280228,0.9110976271369392,0.9631813125695217,0.9373748609566185,0.2605460335015749,0.023174915986601263
FairAA,0.0859244191690112,0,0.9459540336856301,0.7602010646617704,0.9164627363737485,0.9033370411568409,0.2150750601431876,0.0081007499829866
FairAA,0.12899299292483404,0,0.8288468481040384,0.4375462673938714,0.7855394883203559,0.8510567296996662,0.1083304562541419,0.011106708028819412
FairAA,0.19364916731037085,0,0.6953600667229476,0.27115800809320817,0.5507230255839822,0.8835372636262514,0.0320762734013608,0.02937087503960356
FairAA,0.29071346551243893,0,0.6721761739429444,0.2548388839937467,0.5229143492769743,0.889766407119021,0.022826861961346215,0.11358620802639052
FairAA,0.4364300668269688,0,0.6667169480489974,0.2614377172597494,0.4994438264738599,0.8996662958843158,0.013224103893101836,0.026547207962721586
FairAA,0.6551853485522244,0,0.65104807534403,0.3413568764048614,0.5114571746384872,0.9597330367074527,0.009139981271830973,0.047390874999109656
FairAA,0.9835890640588962,0,0.6622540629935685,0.3014469658284233,0.4828698553948832,0.9187986651835371,0.004683977598021936,0.07555095799034461
