method,n,seed,ev,mmd,ls,nls,dp,rtime,n_iter
AA,32,0,0.9681600009439714,1.020022532173278,0.8666666666666668,0.8833333333333334,0.3019301202452079,0.18627070798538625,501
AA,32,1,0.9681600009439715,1.0200225330337869,0.9583333333333334,0.8916666666666668,0.3019301195046841,0.18095320800784975,501
AA,32,2,0.9681600009439715,1.0200225445503421,0.7666666666666667,0.8666666666666668,0.3019301279884612,0.18155616597505286,501
AA,32,3,0.9681600009439715,1.0200225338425974,0.8916666666666668,0.875,0.30193012241870787,0.18309379200218245,501
AA,32,4,0.9681600009439713,1.0200225409648411,0.8666666666666668,0.9500000000000002,0.3019301285970458,0.18224016699241474,501
FairAA,32,0,0.9681599741604285,1.0200963166207944,0.8666666666666668,0.9083333333333334,0.3019081169344652,0.15055312495678663,501
FairAA,32,1,0.9681555261712789,1.0184085700598278,0.9583333333333334,0.8916666666666668,0.30119104117448914,0.1446642919909209,501
FairAA,32,2,0.9681550505055693,1.0185353731855447,0.7666666666666667,0.8666666666666668,0.3011536784287264,0.1448725420050323,501
FairAA,32,3,0.9681550467331553,1.0189915567490062,0.8916666666666668,0.875,0.3013807268906452,0.14953329198760912,501
FairAA,32,4,0.9681575037898859,1.0192002038859833,0.8666666666666668,0.9250000000000002,0.30156960734613814,0.14160029200138524,501
FairAA_3Moment,32,0,0.9676090142497683,0.9745866884574688,0.8666666666666668,0.8833333333333334,0.28718216270667646,0.3589404579834081,501
FairAA_3Moment,32,1,0.967618402307796,0.9725115196413109,0.9083333333333334,0.8916666666666668,0.28723633272040316,0.36359158298000693,501
FairAA_3Moment,32,2,0.9676019436363615,0.9748637330563403,0.7416666666666667,0.8666666666666668,0.2871057213804119,0.36063616699539125,501
FairAA_3Moment,32,3,0.9676358246127053,0.9788563517274751,0.8416666666666668,0.875,0.28808981682679946,0.3626587920007296,501
FairAA_3Moment,32,4,0.9676272382106615,0.9717550459301831,0.8166666666666668,0.9500000000000002,0.28741800600268375,0.3651418749941513,501
FairAA_Adv,32,0,0.9681595087573424,1.01897849738856,0.8666666666666668,0.9083333333333334,0.3015162085640135,0.25715458299964666,501
FairAA_Adv,32,1,0.9681592287751921,1.0187224931236707,0.9583333333333334,0.8916666666666668,0.30141260595442576,0.3195692909648642,501
FairAA_Adv,32,2,0.968159610895649,1.0190820598427577,0.7666666666666667,0.8666666666666668,0.301554301863488,0.320978666015435,501
FairAA_Adv,32,3,0.9681597243835589,1.0191442572951706,0.8916666666666668,0.875,0.3015937247641244,0.3191152500221506,501
FairAA_Adv,32,4,0.9681594867300543,1.018956380622655,0.8666666666666668,0.9250000000000002,0.3015074624454944,0.2582990829832852,501
FairAA_MMD,32,0,0.9681599394183248,1.0195806617336745,0.8666666666666668,0.9083333333333334,0.3018112332251895,2.032859541999642,501
FairAA_MMD,32,1,0.9681599386569403,1.0195709775385429,0.9583333333333334,0.8916666666666668,0.30180918921839284,2.0078072500182316,501
FairAA_MMD,32,2,0.9681599402772033,1.019573309723,0.7666666666666667,0.8666666666666668,0.30181280000696575,1.9567472919588909,501
FairAA_MMD,32,3,0.9681599395142445,1.0195759168233194,0.8916666666666668,0.875,0.30181196468186433,1.9388533749734052,501
FairAA_MMD,32,4,0.9681599381645328,1.0195733796567252,0.8666666666666668,0.9250000000000002,0.30180835184255744,2.008232833002694,501
FairPCA_AA,32,0,0.7989518867237551,0.8301223389056325,0.8,0.8,0.26363881735396155,0.17254533397499472,501
FairPCA_AA,32,1,0.7989518862449709,0.8301223437627314,0.8666666666666668,0.8333333333333334,0.26363881820827917,0.17490837501827627,501
FairPCA_AA,32,2,0.7989518870383339,0.8301223340366743,0.7666666666666667,0.7583333333333334,0.2636388168748691,0.17031770799076185,501
FairPCA_AA,32,3,0.7989518866435558,0.8301223383210837,0.8,0.7833333333333334,0.26363881577703274,0.17146908299764618,501
FairPCA_AA,32,4,0.7989518868646107,0.8301223375766389,0.8000000000000002,0.8583333333333334,0.2636388170977284,0.1755719999782741,501
AA,64,0,0.9841592438734879,1.0654851245439558,0.9666666666666666,0.9262626262626263,0.3132418534307406,0.22385975002544,501
AA,64,1,0.9841592438734881,1.0654851239103333,0.9666666666666666,0.9484848484848485,0.31324185354419387,0.2208457090309821,501
AA,64,2,0.9841592438734867,1.0654851268523604,0.9666666666666666,0.9666666666666666,0.31324185447789277,0.22547845804365352,501
AA,64,3,0.9841592438734882,1.0654851265724286,0.9666666666666666,0.9262626262626263,0.31324185359717455,0.2210241249995306,501
AA,64,4,0.9841592438734885,1.0654851226366064,0.9686868686868687,0.906060606060606,0.3132418549165592,0.2218646249966696,501
FairAA,64,0,0.9841592036450569,1.0654788399027324,0.9666666666666666,0.9262626262626263,0.3132167195944877,0.146593458019197,501
FairAA,64,1,0.984159238953889,1.0654788890591123,0.9666666666666666,0.9393939393939394,0.3132332584476043,0.15928650001296774,501
FairAA,64,2,0.9841581333879692,1.0653932852881365,0.9666666666666666,0.9666666666666666,0.3131093219227101,0.1635341250221245,501
FairAA,64,3,0.98415913509353,1.0655131687749495,0.9666666666666666,0.9262626262626263,0.31321583306353273,0.16086345800431445,501
FairAA,64,4,0.9841592427346316,1.065473441615624,0.9575757575757576,0.906060606060606,0.3132344498624,0.14941337500931695,501
FairAA_3Moment,64,0,0.9828607026853888,1.0055814441710296,0.9333333333333333,0.9171717171717171,0.29442268836184393,0.37828524998622015,501
FairAA_3Moment,64,1,0.9828661156712465,1.0061309349886662,0.9444444444444444,0.9191919191919192,0.29449735918217035,0.38032687501981854,501
FairAA_3Moment,64,2,0.982871670446533,1.0054305068992737,0.9555555555555555,0.9353535353535353,0.29443728108250583,0.3915486250189133,501
FairAA_3Moment,64,3,0.9828565381357895,1.0055980131556226,0.9444444444444444,0.9373737373737374,0.2944026912433451,0.3860779579845257,501
FairAA_3Moment,64,4,0.9828727461901822,1.0062671467547248,0.9353535353535353,0.8838383838383838,0.29469133851211293,0.39907591603696346,501
FairAA_Adv,64,0,0.9841575928623467,1.0624129143489298,0.9666666666666666,0.9262626262626263,0.3125377557695838,0.34604895795928314,501
FairAA_Adv,64,1,0.9841575002328647,1.0623475361142933,0.9666666666666666,0.9484848484848485,0.31251346625084747,0.3498319169739261,501
FairAA_Adv,64,2,0.9841576033297048,1.0624105242421098,0.9666666666666666,0.9666666666666666,0.31252834968575843,0.34966566698858514,501
FairAA_Adv,64,3,0.9841575559206349,1.062398080587252,0.9666666666666666,0.9373737373737374,0.31251973457877735,0.34708337497431785,501
FairAA_Adv,64,4,0.9841574299363155,1.062373928714529,0.9575757575757576,0.906060606060606,0.31252019687004595,0.349555374996271,501
FairAA_MMD,64,0,0.9841592367489727,1.0653696024205126,0.9666666666666666,0.9262626262626263,0.3132070748304149,2.5254295830382034,501
FairAA_MMD,64,1,0.9841592367674349,1.065368798396255,0.9666666666666666,0.9484848484848485,0.3132070955022627,2.491364874993451,501
FairAA_MMD,64,2,0.9841592367443865,1.065368531221766,0.9666666666666666,0.9666666666666666,0.31320684185756964,2.3605090000201017,501
FairAA_MMD,64,3,0.9841592368053075,1.0653714134293635,0.9666666666666666,0.9242424242424242,0.313207308782167,2.413495042012073,501
FairAA_MMD,64,4,0.984159236759541,1.0653689314147172,0.9575757575757576,0.9151515151515153,0.31320705535218485,2.355738916026894,501
FairPCA_AA,64,0,0.9485969151177815,1.030812190874637,0.9222222222222222,0.9262626262626263,0.2871011435821607,0.22184920799918473,501
FairPCA_AA,64,1,0.9485969106490374,1.0308121963192998,0.9444444444444444,0.9393939393939394,0.2871011372507476,0.22330037504434586,501
FairPCA_AA,64,2,0.9485969151301427,1.0308121809039217,0.9555555555555555,0.9444444444444443,0.28710114511219603,0.21772666601464152,501
FairPCA_AA,64,3,0.9485969087515485,1.030812177042195,0.9555555555555555,0.9353535353535353,0.2871011331956239,0.22270645794924349,501
FairPCA_AA,64,4,0.9485969160182115,1.0308121841078064,0.9444444444444443,0.9464646464646463,0.28710114643462753,0.22313816600944847,501
AA,128,0,0.9809551177825764,1.1183210088984996,0.9722222222222221,0.9722222222222223,0.3093555288851182,0.27217895799549296,501
AA,128,1,0.9809551177825809,1.1183209837361414,0.9722222222222223,0.9611111111111112,0.30935552229832963,0.2741920829867013,501
AA,128,2,0.9809551177825822,1.118320967947485,0.9833333333333334,0.9674603174603174,0.30935551727635635,0.27356895903358236,501
AA,128,3,0.9809551177825825,1.1183209615244514,0.9722222222222221,0.9698412698412697,0.3093555153378846,0.2739621659857221,501
AA,128,4,0.9809551177825807,1.1183209869501196,0.9833333333333334,0.9738095238095239,0.3093555231655934,0.277260834001936,501
FairAA,128,0,0.980953523087731,1.1180268532681157,0.9722222222222221,0.9674603174603174,0.30920523214466733,0.2423454590025358,501
FairAA,128,1,0.9809277649396929,1.1135580457765935,0.9722222222222223,0.9555555555555555,0.30823569933125117,0.22720204101642594,501
FairAA,128,2,0.980925809093018,1.11364330546767,0.9833333333333334,0.9674603174603174,0.3082969489645873,0.2300305840326473,501
FairAA,128,3,0.9809362382209708,1.1149786494347063,0.9722222222222221,0.9642857142857142,0.3085489518920481,0.22299995797220618,501
FairAA,128,4,0.9809292627795441,1.11166790827943,0.9833333333333334,0.9738095238095239,0.30776726358889894,0.1965216250391677,501
FairAA_3Moment,128,0,0.9775407150092017,1.001392497601624,0.961111111111111,0.9515873015873015,0.2749469230526871,0.44474045804236084,501
FairAA_3Moment,128,1,0.9775192300832719,0.9974683772516983,0.9555555555555555,0.946031746031746,0.2742330055298051,0.4919492089538835,501
FairAA_3Moment,128,2,0.9773586332076316,0.9940837764364039,0.961111111111111,0.9619047619047618,0.27320457652274094,0.5079205830115825,501
FairAA_3Moment,128,3,0.9774144072525228,0.9951046159659758,0.9666666666666666,0.9428571428571428,0.2736061368492759,0.48944224999286234,501
FairAA_3Moment,128,4,0.9774597595350629,0.9962638744100205,0.9722222222222223,0.9484126984126984,0.2738187021482409,0.5067893330124207,501
FairAA_Adv,128,0,0.9809532479595074,1.1151954497239078,0.9722222222222221,0.9619047619047618,0.3085191153333254,0.3838060830021277,501
FairAA_Adv,128,1,0.9809532552123035,1.1152808013191327,0.9722222222222223,0.9555555555555555,0.30853489347084173,0.43195575004210696,501
FairAA_Adv,128,2,0.980953164124981,1.1150618898495792,0.9833333333333334,0.9674603174603174,0.308482660346513,0.28528612497029826,501
FairAA_Adv,128,3,0.980953182528222,1.1151489091264728,0.9722222222222221,0.9642857142857142,0.3085245091949823,0.41223687503952533,501
FairAA_Adv,128,4,0.9809530888382196,1.115057824365029,0.9833333333333334,0.9738095238095239,0.3084940276558844,0.4159833330195397,501
FairAA_MMD,128,0,0.9809551161355539,1.1182263494335265,0.9722222222222221,0.9674603174603174,0.30933517305300173,4.573169166978914,501
FairAA_MMD,128,1,0.9809551161491263,1.1182284978531367,0.9722222222222223,0.9611111111111112,0.3093353337162801,4.5881831249571405,501
FairAA_MMD,128,2,0.9809551160970441,1.1182240495994076,0.9833333333333334,0.9674603174603174,0.3093342205931585,4.325174624973442,501
FairAA_MMD,128,3,0.9809551161276736,1.1182260576693348,0.9722222222222221,0.9698412698412697,0.3093346883506539,4.2960048749810085,501
FairAA_MMD,128,4,0.9809551161387539,1.1182273981293094,0.9833333333333334,0.9738095238095239,0.3093347269862367,4.511283750005532,501
FairPCA_AA,128,0,0.9137508700079656,1.0516660698996965,0.9484126984126984,0.9476190476190476,0.2987265403832182,0.256865041970741,501
FairPCA_AA,128,1,0.9137508828952833,1.0516660140707454,0.9325396825396826,0.9126984126984127,0.29872654792528,0.25390687497565523,501
FairPCA_AA,128,2,0.9137508606194918,1.051665943250738,0.9634920634920634,0.9579365079365079,0.29872650778035176,0.25292837497545406,501
FairPCA_AA,128,3,0.9137508729040793,1.0516660664570274,0.9468253968253968,0.9436507936507936,0.298726543592412,0.26542187499580905,501
FairPCA_AA,128,4,0.9137508810601584,1.051666048481318,0.9547619047619047,0.9333333333333333,0.2987265513744439,0.261133374995552,501
AA,256,0,0.9822228233262226,1.103954194694419,0.9757575757575758,0.9613636363636363,0.3034163860099396,0.4669378329999745,501
AA,256,1,0.9822228233262222,1.1039542072643516,0.990909090909091,0.9734848484848484,0.30341638707342794,0.49636083299992606,501
AA,256,2,0.9822228233262223,1.103954191736396,0.9818181818181818,0.9477272727272726,0.30341638565628465,0.4834175829892047,501
AA,256,3,0.9822228233262218,1.1039541896417493,0.990909090909091,0.9772727272727273,0.3034163837654567,0.45590683398768306,501
AA,256,4,0.9822228233262225,1.1039541993435937,0.9818181818181818,0.9454545454545455,0.3034163856726133,0.45012366701848805,501
FairAA,256,0,0.9821872982416425,1.0998674853428163,0.9757575757575758,0.9643939393939395,0.30186443938660945,0.3239710420020856,501
FairAA,256,1,0.9822104085686375,1.104418342311197,0.990909090909091,0.9704545454545455,0.303336491588289,0.3353408330003731,501
FairAA,256,2,0.9822207083996249,1.10337089918785,0.9818181818181818,0.9477272727272726,0.30313873730147234,0.31338800000958145,501
